year,fips7,city_name,opinion_affectweather,opinion_citizens,opinion_congress,opinion_consensus,opinion_corporations,opinion_devharm,opinion_discuss,opinion_exp,opinion_fundrenewables,opinion_futuregen,opinion_generaterenewable,opinion_governor,opinion_happening,opinion_harmplants,opinion_harmus,opinion_human,opinion_localofficials,opinion_personal,opinion_priority,opinion_reducetax,opinion_regulate,opinion_teachgw,opinion_timing,opinion_worried
2023,2669035,rochester hills,70.06,65.51,66.86,60.47,74.72,71.88,39.74,44.65,84.85,75.43,82.4,57.73,77.24,73.71,65.49,61.18,58.67,46.28,55.88,74.39,81.03,80.92,61.94,65.17
2013,2670040,royal oak,,,,,,,,,,,,,,,,,,,,,,,,
2014,2670040,royal oak,,,,38.0,,52.0,,,80.0,64.0,,,65.0,,50.0,45.0,,32.0,,,78.0,,40.0,50.0
2015,2670040,royal oak,,,,42.785,,56.94,,,82.32,66.91499999999999,,,68.125,,52.715,48.510000000000005,,34.565,,,77.77000000000001,,44.65,52.45
2016,2670040,royal oak,,,,47.57,,61.88,32.13,,84.64,69.83,,,71.25,67.25,55.43,52.02,,37.13,,,77.54,78.46,49.3,54.9
2017,2670040,royal oak,,,,48.315,,61.985,33.685,,86.14,70.815,,,71.63,68.575,55.89,54.935,,38.17,,,79.39,79.41999999999999,49.81,56.91
2018,2670040,royal oak,64.22,66.1,64.27,49.06,71.58,62.09,35.24,,87.64,71.8,,57.11,72.01,69.9,56.35,57.85,56.99,39.21,,72.85,81.24,80.38,50.32,58.92
2019,2670040,royal oak,61.91,66.08,63.6,51.75,73.02,63.56,35.74,,86.9,69.7,,58.68,69.38,68.37,56.3,53.97,57.13,40.9,,72.41,76.59,77.72,48.84,58.67
2020,2670040,royal oak,67.59,65.35,62.96,55.15,73.38,66.7,35.17,,88.88,72.48,,54.81,74.3,71.48,59.8,57.46,53.98,41.16,49.23,72.98,78.86,78.94,55.92,60.91
2021,2670040,royal oak,69.63,67.7,65.61,60.38,74.76,72.39,36.39,44.54,82.4,75.08,,59.09,75.62,73.96,66.0,58.87,59.51,45.94,54.81,72.76,77.51,80.7,60.64,64.73
2022,2670040,royal oak,68.83,66.05,64.54,60.73,74.06,72.34,37.75,44.36,84.42,75.39,84.81,57.61,75.38,73.81,66.01,60.13,57.55,45.73,51.95,73.41,80.89,80.73,61.63,64.51
2023,2670040,royal oak,70.06,65.51,66.86,60.47,74.72,71.88,39.74,44.65,84.85,75.43,82.4,57.73,77.24,73.71,65.49,61.18,58.67,46.28,55.88,74.39,81.03,80.92,61.94,65.17
2013,2670760,st. clair shores,,,,,,,,,,,,,,,,,,,,,,,,
2014,2670760,st. clair shores,,,,33.0,,47.0,,,75.0,59.0,,,56.0,,48.0,42.0,,30.0,,,74.0,,36.0,45.0
2015,2670760,st. clair shores,,,,38.645,,51.865,,,78.255,62.88,,,61.35,,50.23,46.06,,32.480000000000004,,,74.72,,41.285,49.225
2016,2670760,st. clair shores,,,,44.29,,56.73,30.06,,81.51,66.76,,,66.7,63.58,52.46,50.12,,34.96,,,75.44,72.7,46.57,53.45
2017,2670760,st. clair shores,,,,44.405,,55.985,31.195,,83.09,67.13,,,66.43,64.50999999999999,52.3,51.45,,35.475,,,76.765,73.445,46.185,54.545
2018,2670760,st. clair shores,62.89,61.15,59.56,44.52,67.32,55.24,32.33,,84.67,67.5,,53.32,66.16,65.44,52.14,52.78,53.45,35.99,,67.85,78.09,74.19,45.8,55.64
2019,2670760,st. clair shores,58.94,60.34,58.21,47.45,68.95,54.87,32.85,,83.92,65.4,,54.04,62.26,62.95,50.63,48.42,52.7,36.29,,64.45,72.59,71.56,44.09,55.66
2020,2670760,st. clair shores,63.06,59.79,56.41,49.56,68.98,57.66,31.46,,86.4,68.19,,49.34,66.77,65.62,54.14,52.43,49.18,36.19,45.72,66.57,74.67,72.64,52.27,59.14
2021,2670760,st. clair shores,62.84,60.68,58.08,51.41,69.02,62.28,31.66,40.34,78.16,69.56,,54.0,66.59,66.41,58.78,52.01,54.98,40.75,49.38,64.77,72.63,73.51,55.32,61.26
2022,2670760,st. clair shores,60.19,57.44,56.13,50.17,67.37,62.09,31.92,38.88,79.8,68.72,79.53,51.16,65.24,66.14,57.26,52.2,51.27,39.01,46.16,64.91,75.4,71.93,54.34,59.51
2023,2670760,st. clair shores,61.79,57.35,58.8,51.08,68.26,61.13,33.4,38.98,80.3,69.04,78.39,52.52,68.31,66.13,56.45,53.74,52.37,40.03,51.28,66.71,75.42,72.85,55.07,60.57
2013,2674900,southfield,,,,,,,,,,,,,,,,,,,,,,,,
2014,2674900,southfield,,,,38.0,,52.0,,,80.0,64.0,,,65.0,,50.0,45.0,,32.0,,,78.0,,40.0,50.0
2015,2674900,southfield,,,,42.785,,56.94,,,82.32,66.91499999999999,,,68.125,,52.715,48.510000000000005,,34.565,,,77.77000000000001,,44.65,52.45
2016,2674900,southfield,,,,47.57,,61.88,32.13,,84.64,69.83,,,71.25,67.25,55.43,52.02,,37.13,,,77.54,78.46,49.3,54.9
2017,2674900,southfield,,,,48.315,,61.985,33.685,,86.14,70.815,,,71.63,68.575,55.89,54.935,,38.17,,,79.39,79.41999999999999,49.81,56.91
2018,2674900,southfield,64.22,66.1,64.27,49.06,71.58,62.09,35.24,,87.64,71.8,,57.11,72.01,69.9,56.35,57.85,56.99,39.21,,72.85,81.24,80.38,50.32,58.92
2019,2674900,southfield,61.91,66.08,63.6,51.75,73.02,63.56,35.74,,86.9,69.7,,58.68,69.38,68.37,56.3,53.97,57.13,40.9,,72.41,76.59,77.72,48.84,58.67
2020,2674900,southfield,67.59,65.35,62.96,55.15,73.38,66.7,35.17,,88.88,72.48,,54.81,74.3,71.48,59.8,57.46,53.98,41.16,49.23,72.98,78.86,78.94,55.92,60.91
2021,2674900,southfield,69.63,67.7,65.61,60.38,74.76,72.39,36.39,44.54,82.4,75.08,,59.09,75.62,73.96,66.0,58.87,59.51,45.94,54.81,72.76,77.51,80.7,60.64,64.73
2022,2674900,southfield,68.83,66.05,64.54,60.73,74.06,72.34,37.75,44.36,84.42,75.39,84.81,57.61,75.38,73.81,66.01,60.13,57.55,45.73,51.95,73.41,80.89,80.73,61.63,64.51
2023,2674900,southfield,70.06,65.51,66.86,60.47,74.72,71.88,39.74,44.65,84.85,75.43,82.4,57.73,77.24,73.71,65.49,61.18,58.67,46.28,55.88,74.39,81.03,80.92,61.94,65.17
2013,2676460,sterling heights,,,,,,,,,,,,,,,,,,,,,,,,
2014,2676460,sterling heights,,,,33.0,,47.0,,,75.0,59.0,,,56.0,,48.0,42.0,,30.0,,,74.0,,36.0,45.0
2015,2676460,sterling heights,,,,38.645,,51.865,,,78.255,62.88,,,61.35,,50.23,46.06,,32.480000000000004,,,74.72,,41.285,49.225
2016,2676460,sterling heights,,,,44.29,,56.73,30.06,,81.51,66.76,,,66.7,63.58,52.46,50.12,,34.96,,,75.44,72.7,46.57,53.45
2017,2676460,sterling heights,,,,44.405,,55.985,31.195,,83.09,67.13,,,66.43,64.50999999999999,52.3,51.45,,35.475,,,76.765,73.445,46.185,54.545
2018,2676460,sterling heights,62.89,61.15,59.56,44.52,67.32,55.24,32.33,,84.67,67.5,,53.32,66.16,65.44,52.14,52.78,53.45,35.99,,67.85,78.09,74.19,45.8,55.64
2019,2676460,sterling heights,58.94,60.34,58.21,47.45,68.95,54.87,32.85,,83.92,65.4,,54.04,62.26,62.95,50.63,48.42,52.7,36.29,,64.45,72.59,71.56,44.09,55.66
2020,2676460,sterling heights,63.06,59.79,56.41,49.56,68.98,57.66,31.46,,86.4,68.19,,49.34,66.77,65.62,54.14,52.43,49.18,36.19,45.72,66.57,74.67,72.64,52.27,59.14
2021,2676460,sterling heights,62.84,60.68,58.08,51.41,69.02,62.28,31.66,40.34,78.16,69.56,,54.0,66.59,66.41,58.78,52.01,54.98,40.75,49.38,64.77,72.63,73.51,55.32,61.26
2022,2676460,sterling heights,60.19,57.44,56.13,50.17,67.37,62.09,31.92,38.88,79.8,68.72,79.53,51.16,65.24,66.14,57.26,52.2,51.27,39.01,46.16,64.91,75.4,71.93,54.34,59.51
2023,2676460,sterling heights,61.79,57.35,58.8,51.08,68.26,61.13,33.4,38.98,80.3,69.04,78.39,52.52,68.31,66.13,56.45,53.74,52.37,40.03,51.28,66.71,75.42,72.85,55.07,60.57
2013,2679000,taylor,,,,,,,,,,,,,,,,,,,,,,,,
2014,2679000,taylor,,,,35.0,,51.0,,,77.0,58.0,,,59.0,,52.0,47.0,,36.0,,,77.0,,42.0,48.0
2015,2679000,taylor,,,,40.28,,57.115,,,80.235,63.51,,,64.595,,55.49,51.08,,39.085,,,77.465,,47.88,53.32
2016,2679000,taylor,,,,45.56,,63.23,32.88,,83.47,69.02,,,70.19,70.01,58.98,55.16,,42.17,,,77.93,82.45,53.76,58.64
2017,2679000,taylor,,,,45.915000000000006,,63.175,34.575,,84.68,69.8,,,70.33,71.185,59.78,57.16,,42.56,,,79.255,82.795,53.53,60.225
2018,2679000,taylor,65.43,68.42,69.36,46.27,72.86,63.12,36.27,,85.89,70.58,,65.68,70.47,72.36,60.58,59.16,63.85,42.95,,74.03,80.58,83.14,53.3,61.81
2019,2679000,taylor,63.1,67.6,66.63,46.96,74.48,62.29,36.07,,84.82,67.27,,65.09,66.43,69.79,58.67,55.57,63.03,43.09,,72.65,76.17,82.27,51.04,59.71
2020,2679000,taylor,66.92,67.43,65.27,49.77,73.6,64.26,34.82,,87.22,69.1,,62.05,69.46,70.77,61.47,60.4,60.42,43.14,55.47,73.9,79.31,82.69,57.95,62.74
2021,2679000,taylor,68.24,69.04,67.39,54.35,74.11,68.06,35.86,47.6,80.17,70.3,,65.45,71.57,72.16,65.37,60.48,65.07,47.4,60.81,72.74,77.48,83.05,62.32,66.43
2022,2679000,taylor,65.98,66.95,66.36,52.73,72.64,68.13,35.35,45.67,81.82,70.19,82.97,63.63,70.19,71.57,63.63,59.59,61.76,44.88,57.46,73.42,80.2,82.12,61.47,64.44
2023,2679000,taylor,66.5,66.7,68.69,52.86,73.91,67.98,35.5,44.85,82.2,70.78,81.85,63.96,72.05,71.79,62.57,62.07,62.71,46.38,61.05,74.76,80.4,82.82,62.77,66.41
2013,2680700,troy,,,,,,,,,,,,,,,,,,,,,,,,
2014,2680700,troy,,,,38.0,,52.0,,,80.0,64.0,,,65.0,,50.0,45.0,,32.0,,,78.0,,40.0,50.0
2015,2680700,troy,,,,42.785,,56.94,,,82.32,66.91499999999999,,,68.125,,52.715,48.510000000000005,,34.565,,,77.77000000000001,,44.65,52.45
2016,2680700,troy,,,,47.57,,61.88,32.13,,84.64,69.83,,,71.25,67.25,55.43,52.02,,37.13,,,77.54,78.46,49.3,54.9
2017,2680700,troy,,,,48.315,,61.985,33.685,,86.14,70.815,,,71.63,68.575,55.89,54.935,,38.17,,,79.39,79.41999999999999,49.81,56.91
2018,2680700,troy,64.22,66.1,64.27,49.06,71.58,62.09,35.24,,87.64,71.8,,57.11,72.01,69.9,56.35,57.85,56.99,39.21,,72.85,81.24,80.38,50.32,58.92
2019,2680700,troy,61.91,66.08,63.6,51.75,73.02,63.56,35.74,,86.9,69.7,,58.68,69.38,68.37,56.3,53.97,57.13,40.9,,72.41,76.59,77.72,48.84,58.67
2020,2680700,troy,67.59,65.35,62.96,55.15,73.38,66.7,35.17,,88.88,72.48,,54.81,74.3,71.48,59.8,57.46,53.98,41.16,49.23,72.98,78.86,78.94,55.92,60.91
2021,2680700,troy,69.63,67.7,65.61,60.38,74.76,72.39,36.39,44.54,82.4,75.08,,59.09,75.62,73.96,66.0,58.87,59.51,45.94,54.81,72.76,77.51,80.7,60.64,64.73
2022,2680700,troy,68.83,66.05,64.54,60.73,74.06,72.34,37.75,44.36,84.42,75.39,84.81,57.61,75.38,73.81,66.01,60.13,57.55,45.73,51.95,73.41,80.89,80.73,61.63,64.51
2023,2680700,troy,70.06,65.51,66.86,60.47,74.72,71.88,39.74,44.65,84.85,75.43,82.4,57.73,77.24,73.71,65.49,61.18,58.67,46.28,55.88,74.39,81.03,80.92,61.94,65.17
2013,2684000,warren,,,,,,,,,,,,,,,,,,,,,,,,
2014,2684000,warren,,,,33.0,,47.0,,,75.0,59.0,,,56.0,,48.0,42.0,,30.0,,,74.0,,36.0,45.0
2015,2684000,warren,,,,38.645,,51.865,,,78.255,62.88,,,61.35,,50.23,46.06,,32.480000000000004,,,74.72,,41.285,49.225
2016,2684000,warren,,,,44.29,,56.73,30.06,,81.51,66.76,,,66.7,63.58,52.46,50.12,,34.96,,,75.44,72.7,46.57,53.45
2017,2684000,warren,,,,44.405,,55.985,31.195,,83.09,67.13,,,66.43,64.50999999999999,52.3,51.45,,35.475,,,76.765,73.445,46.185,54.545
2018,2684000,warren,62.89,61.15,59.56,44.52,67.32,55.24,32.33,,84.67,67.5,,53.32,66.16,65.44,52.14,52.78,53.45,35.99,,67.85,78.09,74.19,45.8,55.64
2019,2684000,warren,58.94,60.34,58.21,47.45,68.95,54.87,32.85,,83.92,65.4,,54.04,62.26,62.95,50.63,48.42,52.7,36.29,,64.45,72.59,71.56,44.09,55.66
2020,2684000,warren,63.06,59.79,56.41,49.56,68.98,57.66,31.46,,86.4,68.19,,49.34,66.77,65.62,54.14,52.43,49.18,36.19,45.72,66.57,74.67,72.64,52.27,59.14
2021,2684000,warren,62.84,60.68,58.08,51.41,69.02,62.28,31.66,40.34,78.16,69.56,,54.0,66.59,66.41,58.78,52.01,54.98,40.75,49.38,64.77,72.63,73.51,55.32,61.26
2022,2684000,warren,60.19,57.44,56.13,50.17,67.37,62.09,31.92,38.88,79.8,68.72,79.53,51.16,65.24,66.14,57.26,52.2,51.27,39.01,46.16,64.91,75.4,71.93,54.34,59.51
2023,2684000,warren,61.79,57.35,58.8,51.08,68.26,61.13,33.4,38.98,80.3,69.04,78.39,52.52,68.31,66.13,56.45,53.74,52.37,40.03,51.28,66.71,75.42,72.85,55.07,60.57
2013,2686000,westland,,,,,,,,,,,,,,,,,,,,,,,,
2014,2686000,westland,,,,35.0,,51.0,,,77.0,58.0,,,59.0,,52.0,47.0,,36.0,,,77.0,,42.0,48.0
2015,2686000,westland,,,,40.28,,57.115,,,80.235,63.51,,,64.595,,55.49,51.08,,39.085,,,77.465,,47.88,53.32
2016,2686000,westland,,,,45.56,,63.23,32.88,,83.47,69.02,,,70.19,70.01,58.98,55.16,,42.17,,,77.93,82.45,53.76,58.64
2017,2686000,westland,,,,45.915000000000006,,63.175,34.575,,84.68,69.8,,,70.33,71.185,59.78,57.16,,42.56,,,79.255,82.795,53.53,60.225
2018,2686000,westland,65.43,68.42,69.36,46.27,72.86,63.12,36.27,,85.89,70.58,,65.68,70.47,72.36,60.58,59.16,63.85,42.95,,74.03,80.58,83.14,53.3,61.81
2019,2686000,westland,63.1,67.6,66.63,46.96,74.48,62.29,36.07,,84.82,67.27,,65.09,66.43,69.79,58.67,55.57,63.03,43.09,,72.65,76.17,82.27,51.04,59.71
2020,2686000,westland,66.92,67.43,65.27,49.77,73.6,64.26,34.82,,87.22,69.1,,62.05,69.46,70.77,61.47,60.4,60.42,43.14,55.47,73.9,79.31,82.69,57.95,62.74
2021,2686000,westland,68.24,69.04,67.39,54.35,74.11,68.06,35.86,47.6,80.17,70.3,,65.45,71.57,72.16,65.37,60.48,65.07,47.4,60.81,72.74,77.48,83.05,62.32,66.43
2022,2686000,westland,65.98,66.95,66.36,52.73,72.64,68.13,35.35,45.67,81.82,70.19,82.97,63.63,70.19,71.57,63.63,59.59,61.76,44.88,57.46,73.42,80.2,82.12,61.47,64.44
2023,2686000,westland,66.5,66.7,68.69,52.86,73.91,67.98,35.5,44.85,82.2,70.78,81.85,63.96,72.05,71.79,62.57,62.07,62.71,46.38,61.05,74.76,80.4,82.82,62.77,66.41
2013,2688940,wyoming,,,,,,,,,,,,,,,,,,,,,,,,
2014,2688940,wyoming,,,,36.0,,51.0,,,78.0,61.0,,,60.0,,51.0,50.0,,33.0,,,76.0,,39.0,50.0
2015,2688940,wyoming,,,,40.67,,54.505,,,79.62,63.815,,,62.56,,52.03,50.41,,34.225,,,74.14,,42.175,50.955
2016,2688940,wyoming,,,,45.34,,58.01,31.64,,81.24,66.63,,,65.12,67.16,53.06,50.82,,35.45,,,72.28,77.44,45.35,51.91
2017,2688940,wyoming,,,,45.83,,58.6,32.745000000000005,,82.75,68.13499999999999,,,66.32,68.745,54.415000000000006,53.955,,36.285,,,74.13499999999999,77.97999999999999,45.900000000000006,54.41
2018,2688940,wyoming,62.69,59.06,56.84,46.32,64.17,59.19,33.85,,84.26,69.64,,51.89,67.52,70.33,55.77,57.09,54.09,37.12,,66.71,75.99,78.52,46.45,56.91
2019,2688940,wyoming,59.08,57.25,53.33,47.4,64.06,57.78,34.81,,81.67,66.07,,51.08,64.07,67.69,53.79,52.59,52.18,37.84,,63.95,70.43,75.34,43.25,54.98
2020,2688940,wyoming,64.76,58.59,53.87,51.9,65.61,60.66,34.53,,84.72,69.29,,48.69,69.42,70.7,57.36,57.79,49.1,37.85,44.83,66.24,72.52,77.0,50.81,58.67
2021,2688940,wyoming,66.69,61.49,58.06,56.02,67.59,64.8,35.17,43.15,76.35,71.24,,55.73,71.6,72.84,61.67,58.97,56.98,42.62,50.29,66.29,72.07,79.09,54.89,62.79
2022,2688940,wyoming,64.62,59.16,56.54,55.14,66.14,65.61,35.45,42.14,79.14,70.91,81.38,53.65,70.47,72.01,60.61,59.33,54.51,40.96,47.17,67.88,75.57,78.0,54.03,62.29
2023,2688940,wyoming,66.11,59.17,59.48,56.31,66.38,64.89,36.09,41.58,79.67,70.68,79.16,54.04,72.65,71.46,59.0,60.1,54.66,41.3,50.48,69.0,75.73,78.41,54.66,63.36
2013,2701900,apple valley,,,,,,,,,,,,,,,,,,,,,,,,
2014,2701900,apple valley,,,,43.0,,51.0,,,77.0,65.0,,,65.0,,48.0,48.0,,31.0,,,75.0,,39.0,50.0
2015,2701900,apple valley,,,,46.89,,56.475,,,79.815,68.425,,,67.66,,51.18,49.66,,32.855000000000004,,,74.87,,43.315,52.545
2016,2701900,apple valley,,,,50.78,,61.95,32.44,,82.63,71.85,,,70.32,70.44,54.36,51.32,,34.71,,,74.74,76.39,47.63,55.09
2017,2701900,apple valley,,,,52.615,,62.675,33.459999999999994,,84.255,72.78999999999999,,,70.755,71.465,55.23,53.24,,35.055,,,76.35,76.735,47.34,57.040000000000006
2018,2701900,apple valley,64.08,64.09,62.34,54.45,68.77,63.4,34.48,,85.88,73.73,,53.78,71.19,72.49,56.1,55.16,54.95,35.4,,66.27,77.96,77.08,47.05,58.99
2019,2701900,apple valley,62.59,63.39,61.24,57.8,70.26,63.46,34.78,,84.33,71.09,,54.46,68.24,70.14,54.26,50.69,54.33,35.9,,65.11,72.85,73.87,44.62,58.61
2020,2701900,apple valley,67.21,64.82,60.83,59.98,71.0,66.18,34.93,,87.05,73.72,,50.07,72.85,71.72,58.12,53.35,50.72,36.43,45.31,67.86,74.25,75.58,52.83,61.26
2021,2701900,apple valley,67.0,66.68,62.51,62.98,71.9,69.21,34.56,43.5,79.14,74.7,,55.16,74.08,72.58,61.91,52.87,57.22,40.31,49.73,66.25,71.98,76.24,54.98,63.23
2022,2701900,apple valley,65.88,64.95,61.0,61.79,70.7,69.86,35.51,43.26,81.82,74.66,82.52,53.33,73.45,72.58,61.64,53.5,55.06,39.64,47.15,68.09,75.14,76.4,55.24,63.01
2023,2701900,apple valley,67.37,65.17,64.18,62.91,71.93,69.74,36.82,43.39,82.58,74.98,80.97,54.45,76.03,72.95,60.91,55.73,56.44,40.98,51.72,70.48,75.75,76.38,55.53,64.17
2013,2706382,blaine,,,,,,,,,,,,,,,,,,,,,,,,
2014,2706382,blaine,,,,40.0,,50.0,,,78.0,62.0,,,57.0,,49.0,44.0,,31.0,,,73.0,,38.0,49.0
2015,2706382,blaine,,,,43.27,,54.92,,,80.07,65.0,,,61.055,,51.31,45.870000000000005,,32.71,,,71.85499999999999,,41.71,51.225
2016,2706382,blaine,,,,46.54,,59.84,29.9,,82.14,68.0,,,65.11,67.72,53.62,47.74,,34.42,,,70.71,75.54,45.42,53.45
2017,2706382,blaine,,,,47.38,,59.995000000000005,30.8,,83.58500000000001,68.78999999999999,,,64.815,68.61,53.85,49.715,,35.235,,,71.63499999999999,76.24000000000001,44.965,54.855
2018,2706382,blaine,58.35,62.59,60.53,48.22,66.08,60.15,31.7,,85.03,69.58,,52.08,64.52,69.5,54.08,51.69,53.76,36.05,,64.11,72.56,76.94,44.51,56.26
2019,2706382,blaine,56.47,61.77,58.47,50.31,67.43,60.27,32.98,,83.2,67.03,,51.88,60.67,66.99,52.57,47.35,52.63,36.34,,62.91,67.07,73.59,41.63,55.84
2020,2706382,blaine,60.73,61.92,56.21,52.3,68.29,62.93,32.17,,85.96,69.69,,46.96,65.72,68.89,55.82,50.98,49.09,36.39,40.18,64.74,68.88,74.77,49.68,59.02
2021,2706382,blaine,62.06,63.13,58.46,56.35,68.85,66.53,31.51,40.47,77.48,70.71,,50.74,66.91,69.94,59.77,48.94,54.87,40.76,45.08,63.05,66.41,75.24,53.02,61.58
2022,2706382,blaine,60.62,60.84,56.75,54.85,67.38,66.55,31.89,40.02,79.48,70.57,79.39,48.48,66.34,69.56,59.07,49.19,52.26,39.85,42.39,64.72,69.32,74.14,53.04,60.91
2023,2706382,blaine,62.1,60.72,59.83,55.4,68.47,66.15,32.79,40.16,80.1,70.69,77.8,49.47,68.66,69.61,58.1,51.08,53.11,41.05,46.56,67.14,69.63,74.25,53.14,62.05
2013,2706616,bloomington,,,,,,,,,,,,,,,,,,,,,,,,
2014,2706616,bloomington,,,,51.0,,61.0,,,82.0,73.0,,,69.0,,57.0,59.0,,38.0,,,81.0,,46.0,61.0
2015,2706616,bloomington,,,,55.055,,65.845,,,84.08,76.06,,,72.83500000000001,,59.845,60.785,,39.33,,,80.075,,49.68,62.67
2016,2706616,bloomington,,,,59.11,,70.69,40.91,,86.16,79.12,,,76.67,78.42,62.69,62.57,,40.66,,,79.15,85.04,53.36,64.34
2017,2706616,bloomington,,,,59.89,,70.78999999999999,42.3,,87.265,79.67,,,77.13499999999999,78.78999999999999,62.805,64.515,,41.93,,,80.61,85.62,53.39,66.22
2018,2706616,bloomington,70.91,71.58,70.14,60.67,75.19,70.89,43.69,,88.37,80.22,,60.75,77.6,79.16,62.92,66.46,60.17,43.2,,70.83,82.07,86.2,53.42,68.1
2019,2706616,bloomington,69.43,70.87,68.41,62.42,76.11,71.57,43.62,,87.5,77.98,,60.45,74.3,77.68,62.76,63.44,60.02,44.26,,72.83,78.18,85.41,50.83,67.77
2020,2706616,bloomington,74.6,70.94,67.86,66.29,76.47,74.42,43.92,,89.44,80.74,,56.83,78.97,80.49,67.3,68.44,57.32,46.08,55.98,74.2,80.31,85.55,59.68,71.26
2021,2706616,bloomington,74.73,72.29,69.36,69.88,77.04,76.88,43.91,53.0,83.02,81.05,,61.01,79.97,80.79,70.96,68.26,62.38,50.8,59.97,73.01,77.37,84.66,63.19,73.01
2022,2706616,bloomington,72.48,68.99,66.2,68.66,74.33,76.15,44.64,52.75,84.57,80.28,84.5,57.78,78.75,79.61,69.51,67.45,59.37,49.03,56.65,73.96,79.22,83.27,61.99,71.05
2023,2706616,bloomington,73.92,69.83,68.88,68.17,75.38,75.74,44.94,51.72,85.31,80.74,83.2,59.43,81.14,80.48,69.51,68.21,60.75,49.44,61.7,75.91,79.35,82.62,62.62,72.78
2013,2707966,brooklyn park,,,,,,,,,,,,,,,,,,,,,,,,
2014,2707966,brooklyn park,,,,51.0,,61.0,,,82.0,73.0,,,69.0,,57.0,59.0,,38.0,,,81.0,,46.0,61.0
2015,2707966,brooklyn park,,,,55.055,,65.845,,,84.08,76.06,,,72.83500000000001,,59.845,60.785,,39.33,,,80.075,,49.68,62.67
2016,2707966,brooklyn park,,,,59.11,,70.69,40.91,,86.16,79.12,,,76.67,78.42,62.69,62.57,,40.66,,,79.15,85.04,53.36,64.34
2017,2707966,brooklyn park,,,,59.89,,70.78999999999999,42.3,,87.265,79.67,,,77.13499999999999,78.78999999999999,62.805,64.515,,41.93,,,80.61,85.62,53.39,66.22
2018,2707966,brooklyn park,70.91,71.58,70.14,60.67,75.19,70.89,43.69,,88.37,80.22,,60.75,77.6,79.16,62.92,66.46,60.17,43.2,,70.83,82.07,86.2,53.42,68.1
2019,2707966,brooklyn park,69.43,70.87,68.41,62.42,76.11,71.57,43.62,,87.5,77.98,,60.45,74.3,77.68,62.76,63.44,60.02,44.26,,72.83,78.18,85.41,50.83,67.77
2020,2707966,brooklyn park,74.6,70.94,67.86,66.29,76.47,74.42,43.92,,89.44,80.74,,56.83,78.97,80.49,67.3,68.44,57.32,46.08,55.98,74.2,80.31,85.55,59.68,71.26
2021,2707966,brooklyn park,74.73,72.29,69.36,69.88,77.04,76.88,43.91,53.0,83.02,81.05,,61.01,79.97,80.79,70.96,68.26,62.38,50.8,59.97,73.01,77.37,84.66,63.19,73.01
2022,2707966,brooklyn park,72.48,68.99,66.2,68.66,74.33,76.15,44.64,52.75,84.57,80.28,84.5,57.78,78.75,79.61,69.51,67.45,59.37,49.03,56.65,73.96,79.22,83.27,61.99,71.05
2023,2707966,brooklyn park,73.92,69.83,68.88,68.17,75.38,75.74,44.94,51.72,85.31,80.74,83.2,59.43,81.14,80.48,69.51,68.21,60.75,49.44,61.7,75.91,79.35,82.62,62.62,72.78
2013,2708794,burnsville,,,,,,,,,,,,,,,,,,,,,,,,
2014,2708794,burnsville,,,,43.0,,51.0,,,77.0,65.0,,,65.0,,48.0,48.0,,31.0,,,75.0,,39.0,50.0
2015,2708794,burnsville,,,,46.89,,56.475,,,79.815,68.425,,,67.66,,51.18,49.66,,32.855000000000004,,,74.87,,43.315,52.545
2016,2708794,burnsville,,,,50.78,,61.95,32.44,,82.63,71.85,,,70.32,70.44,54.36,51.32,,34.71,,,74.74,76.39,47.63,55.09
2017,2708794,burnsville,,,,52.615,,62.675,33.459999999999994,,84.255,72.78999999999999,,,70.755,71.465,55.23,53.24,,35.055,,,76.35,76.735,47.34,57.040000000000006
2018,2708794,burnsville,64.08,64.09,62.34,54.45,68.77,63.4,34.48,,85.88,73.73,,53.78,71.19,72.49,56.1,55.16,54.95,35.4,,66.27,77.96,77.08,47.05,58.99
2019,2708794,burnsville,62.59,63.39,61.24,57.8,70.26,63.46,34.78,,84.33,71.09,,54.46,68.24,70.14,54.26,50.69,54.33,35.9,,65.11,72.85,73.87,44.62,58.61
2020,2708794,burnsville,67.21,64.82,60.83,59.98,71.0,66.18,34.93,,87.05,73.72,,50.07,72.85,71.72,58.12,53.35,50.72,36.43,45.31,67.86,74.25,75.58,52.83,61.26
2021,2708794,burnsville,67.0,66.68,62.51,62.98,71.9,69.21,34.56,43.5,79.14,74.7,,55.16,74.08,72.58,61.91,52.87,57.22,40.31,49.73,66.25,71.98,76.24,54.98,63.23
2022,2708794,burnsville,65.88,64.95,61.0,61.79,70.7,69.86,35.51,43.26,81.82,74.66,82.52,53.33,73.45,72.58,61.64,53.5,55.06,39.64,47.15,68.09,75.14,76.4,55.24,63.01
2023,2708794,burnsville,67.37,65.17,64.18,62.91,71.93,69.74,36.82,43.39,82.58,74.98,80.97,54.45,76.03,72.95,60.91,55.73,56.44,40.98,51.72,70.48,75.75,76.38,55.53,64.17
2015,2713114,coon rapids,,,,43.27,,54.92,,,80.07,65.0,,,61.055,,51.31,45.870000000000005,,32.71,,,71.85499999999999,,41.71,51.225
2016,2713114,coon rapids,,,,46.54,,59.84,29.9,,82.14,68.0,,,65.11,67.72,53.62,47.74,,34.42,,,70.71,75.54,45.42,53.45
